,text,sentiment,word_count,unique_word_count,stop_word_count,mean_word_length,char_count
0,sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi aj aur aj bi sirf aus say bus,Positive,25,21,6,2.92,97
1,sahi bt h,Positive,3,3,0,2.3333333333333335,9
2,"kya bt hai,",Positive,3,3,1,3.0,11
3,wah je wah,Positive,3,2,0,2.6666666666666665,10
4,are wha kaya bat hai,Positive,5,5,1,3.2,20
5,wah kya baat likhi,Positive,4,4,1,3.75,18
6,wha itni sari khubiya,Positive,4,4,0,4.5,21
7,itni khubiya,Positive,2,2,0,5.5,12
8,ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Positive,13,13,4,3.6153846153846154,59
9,please everyone allah s.w.t ka naam hamesha bary lawzo main likha kary wo he zaat sub say bari hey,Positive,19,19,3,4.2105263157894735,98
10,ya mere rab tu bra kreem hy is mulk k halat pr reham frma. is watn.e.aziz ki hifazat frma.amin,Positive,19,18,6,4.0,94
11,jaago pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago pakistan key logo,Positive,28,24,6,4.25,146
12,kia kia jae .kon sacha ha allah jany .pak kese bdl sakta ha i think 7 nsl to ase e guzr jain gi bd me koi hua to pta ni,Positive,30,27,4,3.0,119
13,afsos hota hai garip insan kha jay allah ki lati me awaz hai jo zulum kry ga allah ki lati pary gi,Positive,22,18,8,3.5,98
14,allah insaaf karey,Positive,3,3,0,5.333333333333333,18
15,allah musalman phir dor e jahalat me jaraha h hiyaday farma aese logo ko jo awam ki zindgiyo ko azab bana rahy hai inko to garak kardy,Positive,27,26,7,4.0,134
16,je thik kaha right,Positive,4,4,0,3.75,18
17,jee ye to he,Positive,4,4,1,2.25,12
18,maa cheez e ase ha jis ka koi namil badl ni,Positive,11,11,2,3.0,43
19,wah wah yeh toh hy,Positive,5,4,2,2.8,18
20,jee ye to he,Positive,4,4,1,2.25,12
21,zenda bad yar,Positive,3,3,0,3.6666666666666665,13
22,es leay muskurany ki koshish kia karo es se wo loug ju apk rouny pr muskuraty hain wo loug phir apki hansi pe jalyn gy.,Positive,25,22,6,3.8,119
23,wha bhut qoob,Positive,3,3,0,3.6666666666666665,13
24,"right
or sada time same nahi rehtaaaaaa",Positive,7,7,0,4.714285714285714,39
25,wha wha kaya bat hai,Positive,5,4,1,3.2,20
26,bohat khoob so true alhamdulillah,Positive,5,5,0,5.8,33
27,dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,Positive,22,20,4,3.6363636363636362,101
